name;url;image;description;
Information Security Bootcamp;https://www.udemy.com/certificate/UC-462ae452-f581-4d3c-9a95-f35661d92399/;Information Security Bootcamp.jpg;A bootcamp in information security with all the basic terminologies . I learned about different types of attacks, threats and encryption.
CompTia Security+ preparation for certificate;https://www.udemy.com/certificate/UC-462ae452-f581-4d3c-9a95-f35661d92399/;CompTiaSecurity+.jpg; A deep dive into the world of cyber security with detailed explanation of how cyber security works and how a cyber security professional should operate. Learned about attacks,defenses, basic terminology and processes that every cyber security professional must know


