domain specific skills;
Network security;
Cyber security;
Analyzing incoming traffic and packets;
Networking;
Ethical hacking;
Object-oriented programming;
Databases;
Multithreading/parallel processing;
Frontend developing;
Backend developing;
Analyzing and reporting;
Computer literature;
Proficiency in MS Office;
